车系ID,车型,动力形式,纯电续航里程(km)工信部,纯电续航里程(km)CLTC,高压快充平台,充电时间,快充电量(%),电池类型,电芯品牌,电池容量(kWh),电池能量密度(Wh/kg),电动机,电机类型,电动机总功率,电动机总功率(kW),电动机总马力,电动机总马力(Ps),电动机总扭矩,电动机总扭矩(Nm),前电动机最大扭矩,前电动机最大扭矩(Nm),前电动机最大功率,前电动机最大功率(kW),后电动机最大扭矩,后电动机最大扭矩(Nm),后电动机最大功率,后电动机最大功率(kW),驱动电机数,电机布局
25072,昊铂HL 2025款 700 Ultra六座四驱激光雷达版,纯电动,700,700,800V,快充10分钟,30-80,三元锂电池,中创新航,108.35,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
9833,乐道L60 2025款 560km 标准续航版,纯电动,560,560,900V,快充25分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,60,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9833,乐道L60 2025款 530km 黑骑士特别版,纯电动,530,530,900V,快充25分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,60,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9833,乐道L60 2025款 530km 标准续航四驱版,纯电动,530,530,900V,快充25分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,60,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
9833,乐道L60 2025款 740km 长续航版,纯电动,740,740,900V,快充25分钟,10-80,三元锂电池,中创新航,85,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9833,乐道L60 2025款 707km 长续航四驱版,纯电动,707,707,900V,快充25分钟,10-80,三元锂电池,中创新航,85,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
9833,乐道L60 2024款 555km 标准续航版,纯电动,555,555,900V,快充25分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,60,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9833,乐道L60 2024款 525km 标准续航四驱版,纯电动,525,525,900V,快充25分钟,10-80,磷酸铁锂电池,弗迪/宁德时代,60,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
9833,乐道L60 2024款 730km 长续航版,纯电动,730,730,900V,快充25分钟,10-80,三元锂电池,中创新航,85,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
9833,乐道L60 2024款 700km 长续航四驱版,纯电动,700,700,900V,快充25分钟,10-80,三元锂电池,中创新航,85,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10136,smart精灵#5 2025款 超长续航豪华四驱版,纯电动,670,670,400V,快充15分钟,10-80,三元锂电池,中创新航,100,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10136,smart精灵#5 2025款 BRABUS超能版,纯电动,660,660,400V,快充15分钟,10-80,三元锂电池,中创新航,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10136,smart精灵#5 2024款 长续航标准版,纯电动,570,570,400V,快充30分钟,10-80,磷酸铁锂电池,衢州极电,76,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10136,smart精灵#5 2024款 长续航豪华版,纯电动,570,570,400V,快充30分钟,10-80,磷酸铁锂电池,衢州极电,76,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10136,smart精灵#5 2024款 超长续航豪华版,纯电动,740,740,400V,快充15分钟,10-80,三元锂电池,中创新航,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
10136,smart精灵#5 2024款 丛林之境限量版,纯电动,580,580,400V,快充15分钟,10-80,三元锂电池,中创新航,100,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25819,与众08 2026款 Pure,纯电动,630,630,800V,快充20分钟,10-80,磷酸铁锂电池,宁德时代,82.37,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25819,与众08 2026款 Ultra,纯电动,730,730,800V,快充20分钟,10-80,磷酸铁锂电池,宁德时代,95.04,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25819,与众08 2026款 Max,纯电动,700,700,800V,快充20分钟,10-80,磷酸铁锂电池,宁德时代,95.04,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
8835,红旗天工08 2025款 605 后驱先锋版,纯电动,605,605,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/时代一汽,85,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
8835,红旗天工08 2025款 520 Max后驱版,纯电动,520,520,400V,快充25分钟,10-80,磷酸铁锂电池,弗迪,75,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
8835,红旗天工08 2025款 605 Max后驱版,纯电动,605,605,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/时代一汽,85,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
8835,红旗天工08 2025款 730 Max后驱版,纯电动,730,730,400V,快充20分钟,10-80,三元锂电池,宁德时代/时代一汽,111,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
8835,红旗天工08 2025款 565 四驱先锋版,纯电动,565,565,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/时代一汽,85,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
8835,红旗天工08 2025款 565 Ultra四驱版,纯电动,565,565,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/时代一汽,85,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
8835,红旗天工08 2025款 680 Ultra四驱版,纯电动,680,680,400V,快充20分钟,10-80,三元锂电池,宁德时代/时代一汽,111,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
8835,红旗天工08 2025款 605 后驱智选版,纯电动,605,605,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/时代一汽,85,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
8835,红旗天工08 2025款 730 后驱智选版,纯电动,730,730,400V,快充20分钟,10-80,三元锂电池,宁德时代/时代一汽,111,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
8835,红旗天工08 2025款 565 四驱智选版,纯电动,565,565,400V,快充20分钟,10-80,磷酸铁锂电池,宁德时代/时代一汽,85,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
8835,红旗天工08 2025款 680 四驱智选版,纯电动,680,680,400V,快充20分钟,10-80,三元锂电池,宁德时代/时代一汽,111,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
4980,飞凡R7 2025款 长续版,纯电动,730,730,未明确显示,快充30分钟 慢充14小时,30-80,三元锂电池,上汽时代,90,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25816,星途EX7 2026款 纯电 两驱Max 77kWh,纯电动,600,600,400V,快充9分钟 慢充13.5小时,30-80,磷酸铁锂电池,宁德时代,77.01,138.2,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25816,星途EX7 2026款 纯电 两驱Max 100kWh,纯电动,726,726,400V,快充15分钟 慢充16.5小时,30-80,三元锂电池,宁德时代,100.26,190.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25816,星途EX7 2026款 纯电 四驱Ultra 100kWh,纯电动,682,682,400V,快充15分钟 慢充16.5小时,30-80,三元锂电池,宁德时代,100.26,190.0,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5461,小鹏G9 2026款 625 Max,纯电动,625,625,800V,快充12分钟,10-80,磷酸铁锂电池,中创新航,79.1,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
5461,小鹏G9 2026款 725 Max,纯电动,725,725,800V,快充12分钟,10-80,磷酸铁锂电池,中创新航,93.1,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
5461,小鹏G9 2026款 680 四驱 Max,纯电动,680,680,800V,快充12分钟,10-80,磷酸铁锂电池,中创新航,93.1,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
5461,小鹏G9 2025款 625长续航Max,纯电动,625,625,800V,快充12分钟,10-80,磷酸铁锂电池,中创新航,79.1,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
5461,小鹏G9 2025款 725超长续航Max,纯电动,725,725,800V,快充12分钟,10-80,磷酸铁锂电池,中创新航,93.1,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
5461,小鹏G9 2025款 680超长续航四驱Max,纯电动,680,680,800V,快充12分钟,10-80,磷酸铁锂电池,中创新航,93.1,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
25557,理想i6 2025款 两驱 标准版,纯电动,720,720,800V,快充15分钟,10-95,磷酸铁锂电池,宁德时代/欣旺达,87.3,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25557,理想i6 2025款 四驱 标准版,纯电动,660,660,800V,快充15分钟,10-95,磷酸铁锂电池,宁德时代,87.3,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
25718,零跑D19 2026款 纯电620智尊版 六座,纯电动,620,620,800V,快充15分钟 慢充8.8小时,30-80,磷酸铁锂电池,宁德时代,99.6,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25718,零跑D19 2026款 纯电720智尊版 六座,纯电动,720,720,800V,快充15分钟 慢充10小时,30-80,磷酸铁锂电池+三元锂电池,宁德时代,115,170.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25718,零跑D19 2026款 纯电720智尊版 七座,纯电动,720,720,800V,快充15分钟 慢充10小时,30-80,磷酸铁锂电池+三元锂电池,宁德时代,115,170.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
25718,零跑D19 2026款 纯电680三电机性能版 六座,纯电动,680,680,800V,快充15分钟 慢充10小时,30-80,磷酸铁锂电池+三元锂电池,宁德时代,115,170.0,纯电动三电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,三电机,前置+后置
10178,理想i8 2025款 标准版,纯电动,720,720,800V,快充11分钟 慢充17小时,10-80,三元锂电池,宁德时代,97.8,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
